id,query,parent_query_ids,sector,geography,query_type,company_names,company_exposure_established,reason,execution_status
targeted_1,Southeast Georgia EV supply chain tariffs import duties 2026 Section 232 auto parts tariff HTS effective date effective date,"[""q_1""]",automotive_and_trade,southeast_georgia,sector_policy,[],False,Insufficient original evidence; add explicit product/policy terminology.,not_executed
targeted_2,Coastal Georgia automotive suppliers tariff exposure Section 232 auto parts tariff HTS effective date effective date 2026,"[""q_2""]",automotive_and_trade,southeast_georgia,sector_policy,[],False,Insufficient original evidence; add explicit product/policy terminology.,not_executed
targeted_3,Southeast Georgia electric vehicle manufacturing tariff impacts Section 232 auto parts tariff HTS effective date effective date 2026,"[""q_3""]",automotive_and_trade,southeast_georgia,sector_policy,[],False,Insufficient original evidence; add explicit product/policy terminology.,not_executed
targeted_4,Georgia EV manufacturers imported components tariff costs Section 232 auto parts tariff HTS effective date effective date 2026,"[""q_5""]",automotive_and_trade,statewide_georgia,sector_policy,[],False,Insufficient original evidence; add explicit product/policy terminology.,not_executed
targeted_5,Georgia automotive suppliers country of origin import exposure Section 232 auto parts tariff HTS effective date effective date 2026,"[""q_6""]",automotive_and_trade,statewide_georgia,sector_policy,[],False,Insufficient original evidence; add explicit product/policy terminology.,not_executed
targeted_6,Southeast Georgia EV supply chain tariff mitigation strategies Section 232 auto parts tariff HTS effective date effective date 2026,"[""q_7""]",automotive_and_trade,southeast_georgia,sector_policy,[],False,Insufficient original evidence; add explicit product/policy terminology.,not_executed
targeted_7,Georgia automotive suppliers tariffs employment impacts Section 232 auto parts tariff HTS effective date effective date 2026,"[""q_10""]",automotive_and_trade,statewide_georgia,sector_policy,[],False,Insufficient original evidence; add explicit product/policy terminology.,not_executed
targeted_8,Georgia EV manufacturers tariff-related sourcing changes Section 232 auto parts tariff HTS effective date effective date 2026,"[""q_11""]",automotive_and_trade,statewide_georgia,sector_policy,[],False,Insufficient original evidence; add explicit product/policy terminology.,not_executed
targeted_9,Georgia EV supply chain domestic sourcing tariff avoidance Section 232 auto parts tariff HTS effective date effective date 2026,"[""q_13""]",automotive_and_trade,statewide_georgia,sector_policy,[],False,Insufficient original evidence; add explicit product/policy terminology.,not_executed
targeted_10,Georgia automotive manufacturing trade policy uncertainty Section 232 auto parts tariff HTS effective date effective date 2026,"[""q_14""]",automotive_and_trade,statewide_georgia,sector_policy,[],False,Insufficient original evidence; add explicit product/policy terminology.,not_executed
